"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
5.25,0.2137576,-0.0478675555556,-0.834463950617
5.3,0.209916,-0.0870457777778,-0.624344691358
5.35,0.204428,-0.111436888889,-0.345964197531
5.4,0.1986656,-0.126528888889,0.0365866666667
5.45,0.1904336,-0.112504,0.489685432099
5.5,0.1860432,-0.0696671111111,0.783225679012
5.55,0.1835736,-0.0245435555556,0.871050617284
5.6,0.1835736,0.021952,0.830652839506
5.65,0.1860432,0.0612826666667,0.706834074074
5.7,0.1898848,0.0954302222222,0.508402222222
5.75,0.196196,0.114943111111,0.230699259259
5.8,0.201684,0.122870222222,-0.136861234568
5.85,0.2096416,0.104881777778,-0.558624197531
5.9,0.2134832,0.0594533333333,-0.827688641975
5.95,0.215404,0.0134151111111,-0.910432098765
6,0.2148552,-0.0347573333333,-0.88409308642
6.05,0.2118368,-0.0788137777778,-0.737238271605
6.1,0.2068976,-0.116924888889,-0.406687901235
6.15,0.19894,-0.127291111111,0.0675837037037
6.2,0.1926288,-0.105948888889,0.455131358025
6.25,0.1876896,-0.0687524444444,0.600207654321
6.3,0.186592,-0.0420746666667,0.650599012346
6.35,0.1832992,-0.010976,0.79618345679
6.4,0.1843968,0.0396355555556,0.876894320988
6.45,0.1874152,0.0870457777778,0.736391358025
6.5,0.193452,0.124394666667,0.355280246914
6.55,0.2014096,0.128053333333,-0.148040493827
6.6,0.2074464,0.103509777778,-0.534995308642
6.65,0.2121112,0.0678377777778,-0.766118024691
6.7,0.2148552,0.0187506666667,-0.810835061728
6.75,0.2132088,-0.0170737777778,-0.748417530864
6.8,0.2134832,-0.0564044444444,-0.65771308642
6.85,0.207172,-0.0875031111111,-0.469444197531
6.9,0.2038792,-0.101223111111,-0.285325185185
6.95,0.1978424,-0.122260444444,0.0265083950617
7,0.1898848,-0.107320888889,0.482147901235
7.05,0.1857688,-0.0650937777778,0.770691358025
7.1,0.1835736,-0.0210373333333,0.866816049383
7.15,0.1835736,0.0253057777778,0.848522716049
7.2,0.1863176,0.0667706666667,0.736984197531
7.25,0.1904336,0.102137777778,0.531184197531
7.3,0.1967448,0.128053333333,0.157525925926
7.35,0.2047024,0.122717777778,-0.306243950617
7.4,0.2101904,0.0913142222222,-0.657882469136
7.45,0.214032,0.0500017777778,-0.853434814815
7.5,0.215404,0.00259155555556,-0.924914320988
7.55,0.2148552,-0.0512213333333,-0.804906666667
7.6,0.2093672,-0.087808,-0.497477037037
7.65,0.204428,-0.0937533333333,-0.281429382716
7.7,0.2011352,-0.112656444444,-0.10247654321
7.75,0.1926288,-0.116924888889,0.286934320988
7.8,0.1874152,-0.0832346666667,0.656696790123
7.85,0.1841224,-0.0408551111111,0.832854814815
7.9,0.1832992,0.00518311111111,0.875539259259
7.95,0.1846712,0.0501542222222,0.809141234568
8,0.1885128,0.0894848888889,0.639927901235
8.05,0.1937264,0.121803111111,0.30700617284
8.1,0.2019584,0.126528888889,-0.147024197531
8.15,0.2077208,0.102137777778,-0.512043950617
8.2,0.2123856,0.0684475555556,-0.736560740741
8.25,0.2148552,0.0256106666667,-0.867747654321
8.3,0.2151296,-0.0208848888889,-0.903572098765
8.35,0.2132088,-0.0730208888889,-0.756717283951
8.4,0.2068976,-0.105948888889,-0.41718962963
8.45,0.2014096,-0.113418666667,-0.07546
8.5,0.1953728,-0.110979555556,0.225024938272
8.55,0.1896104,-0.0914666666667,0.51322962963
8.6,0.1854944,-0.0560995555556,0.717251111111
8.65,0.183848,-0.015092,0.813714567901
8.7,0.183848,0.0289644444444,0.812528888889
8.75,0.1868664,0.0704293333333,0.69929654321
8.8,0.1912568,0.102442666667,0.483757037037
8.85,0.1972936,0.125766666667,0.121616790123
8.9,0.2052512,0.118754222222,-0.319794567901
8.95,0.2101904,0.0882653333333,-0.659237530864
9,0.2143064,0.0475626666667,-0.870542469136
9.05,0.215404,-0.00304888888889,-0.946341234568
9.1,0.2143064,-0.0570142222222,-0.799317037037
